field_name,field_type
ano_eleicao,integer
codigo_eleicao,integer
codigo_tipo_eleicao,integer
data_eleicao,text
descricao_eleicao,text
tipo_eleicao,text
tipo_abrangencia_eleicao,text
codigo_totalizacao_turno,integer
descricao_totalizacao_turno,text
numero_turno,integer
codigo_municipio,integer
descricao_ue,text
nome_municipio,text
sigla_ue,text
sigla_uf,text
codigo_legenda,integer
composicao_legenda,text
nome_coligacao,text
nome_legenda,text
nome_partido,text
numero_partido,integer
numero_sequencial_legenda,integer
sigla_partido,text
codigo_cargo,integer
codigo_detalhe_situacao_candidatura,integer
codigo_situacao_candidatura,integer
codigo_situacao_candidatura_superior,integer
descricao_cargo,text
descricao_detalhe_situacao_candidatura,text
descricao_situacao_candidatura,text
descricao_situacao_candidatura_superior,text
nome,text
nome_social,text
nome_urna,text
numero_sequencial,integer
numero_urna,integer
tipo_agremiacao,text
numero_zona,integer
total_votos,integer
voto_em_transito,text
